Num_Children,Gender,Income,Own_Car,Own_Housing,Credit_Card_Issuing
1,Male,40690,No,Yes,Denied
2,Female,75469,Yes,No,Denied
1,Male,70497,Yes,Yes,Approved
1,Male,61000,No,No,Denied
1,Male,56666,Yes,Yes,Denied
4,Female,88940,No,Yes,Approved
2,Female,76331,No,Yes,Denied
4,Female,98610,Yes,No,Approved
4,Female,74190,Yes,No,Denied
3,Female,65759,No,No,Denied
3,Female,99948,No,No,Approved
0,Female,66068,No,No,Denied
5,Female,65982,Yes,No,Denied
3,Male,72445,Yes,No,Denied
1,Male,119407,Yes,No,Approved
2,Male,80268,Yes,Yes,Approved
0,Male,63463,Yes,No,Denied
1,Female,48907,Yes,No,Denied
2,Female,71651,Yes,No,Denied
2,Male,80122,Yes,No,Approved
3,Male,97978,Yes,Yes,Approved
5,Female,38975,Yes,No,Denied
1,Female,99661,Yes,Yes,Approved
1,Male,60345,No,No,Denied
3,Female,56908,Yes,No,Denied
2,Male,43217,Yes,No,Denied
0,Male,111599,Yes,Yes,Approved
5,Female,58631,No,Yes,Denied
1,Male,80015,Yes,Yes,Approved
0,Male,96319,Yes,No,Approved
4,Male,112177,No,No,Approved
0,Female,74621,Yes,No,Denied
4,Male,113588,Yes,Yes,Approved
3,Female,33069,Yes,No,Denied
0,Male,79449,Yes,No,Approved
2,Male,93695,Yes,Yes,Approved
3,Male,48771,No,No,Denied
1,Female,51742,Yes,Yes,Denied
2,Female,70549,Yes,No,Denied
1,Female,72494,Yes,No,Denied
3,Male,110092,Yes,Yes,Approved
1,Male,40760,Yes,No,Denied
3,Male,69355,Yes,Yes,Denied
1,Female,32970,No,No,Denied
1,Male,43545,No,Yes,Denied
0,Male,85275,No,Yes,Approved
2,Female,78088,Yes,No,Denied
1,Female,90643,No,No,Approved
4,Male,76583,Yes,No,Approved
1,Male,42097,No,No,Denied
0,Female,90529,Yes,No,Approved
2,Male,113098,No,Yes,Approved
3,Male,85618,No,No,Approved
